State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,DATE,Median Income,Year,Unnamed: 0,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands)
Montana,241805977.78,6.2,976415,40923.0,92453.0,134564381,121.2908,274.0195,2009-01-01,40437,2009,25,30.0,-4.44,-19.5,419.7
Nebraska,438067002.94,9.3,1796378,57442.3333,133623.3333,179068040,111.6746,259.7794,2009-01-01,62780,2009,26,6.0,-1.55,-14.9,946.3
Nevada,570812105.85,11.8,2653630,92885.0,200056.0833,285773577,119.0389,256.3866,2009-01-01,51434,2009,27,50.0,-8.82,-112.5,1163.1
New Hampshire,299127331.9,6.3,1315906,38459.0,78941.6667,115948720,122.3992,251.2388,2009-01-01,81181,2009,28,15.0,-2.92,-18.7,621.8
New Jersey,1984806873.18,9.2,8711090,242742.5833,499852.5,750159374,125.0635,257.5291,2009-01-01,81999,2009,29,28.0,-4.17,-168.6,3874.1
New Mexico,543601579.53,7.2,2010662,119394.75,291073.0,410844850,117.6237,286.7552,2009-01-01,55118,2009,30,25.0,-3.69,-31.2,815.4
New York,5123347086.08,8.4,19212436,1231891.833,2322742.417,3955033246,141.8952,267.5447,2009-01-01,63567,2009,31,10.0,-2.24,-195.1,8509.6
North Carolina,2140650896.61,10.6,9309449,506033.5833,1137293.833,1625497467,119.1057,267.686,2009-01-01,53047,2009,32,41.0,-5.35,-222.1,3928.1
North Dakota,177234759.0,4.3,657569,23988.5833,53069.5833,79564871,124.938,276.3984,2009-01-01,63388,2009,33,2.0,-0.19,-0.7,361.2
Ohio,2798546941.55,10.2,11515391,624988.5833,1357412.0,2167118474,133.0423,288.9544,2009-01-01,58077,2009,34,35.0,-4.63,-246.6,5078.3
Oklahoma,897482872.68,6.4,3668976,199614.5833,472908.25,666446549,117.4376,278.2222,2009-01-01,58075,2009,35,9.0,-2.05,-33.1,1585.1
Oregon,850090540.05,11.1,3768748,302714.3333,581024.75,831153110,119.2079,228.8057,2009-01-01,62151,2009,36,46.0,-6.26,-107.9,1615.6
Pennsylvania,2948437021.9,8.1,12612285,631565.5833,1337803.167,1900787569,118.4023,250.8037,2009-01-01,60979,2009,37,13.0,-2.71,-156.0,5605.4
Rhode Island,266591709.43,11.2,1055003,51554.5833,102303.25,170463595,138.8548,275.539,2009-01-01,65362,2009,38,36.0,-4.66,-22.4,458.5
South Carolina,1091777553.35,11.7,4528996,302450.1667,687508.1667,1001691847,121.4158,275.9936,2009-01-01,52028,2009,39,44.0,-5.99,-116.4,1826.5
South Dakota,215594866.18,4.8,799124,30901.0833,73981.25,111278093,125.3449,300.0922,2009-01-01,58009,2009,40,5.0,-1.54,-6.2,397.2
Tennessee,1476865141.37,10.5,6247411,490911.9167,1072054.5,1603675536,124.6575,272.2273,2009-01-01,40517,2009,41,43.0,-5.57,-155.5,2637.0
Texas,6359923607.83,7.6,24309039,1183153.25,3003156.417,4399125072,122.0695,309.8447,2009-01-01,60097,2009,42,7.0,-1.73,-184.1,10432.2
Utah,671669850.93,6.6,2663029,73706.1667,185281.9167,263258195,118.4043,297.6438,2009-01-01,74042,2009,43,33.0,-4.56,-57.1,1196.0
Vermont,163229651.85,6.9,624151,35407.75,72125.1667,99238170,114.6597,233.5604,2009-01-01,66227,2009,44,19.0,-3.02,-9.3,299.0
Virginia,1751621373.91,6.7,7833496,295740.75,651725.25,922879649,118.0047,260.0475,2009-01-01,76586,2009,45,17.0,-2.95,-110.8,3641.5
Washington,1447419516.21,8.9,6562231,375570.25,761220.25,1046740870,114.5902,232.2559,2009-01-01,60392,2009,46,26.0,-3.75,-111.9,2872.9
West Virginia,438582213.53,7.9,1840310,138070.0,305959.6667,408456434,111.2501,246.5274,2009-01-01,51255,2009,47,4.0,-1.4,-10.1,710.7
Wisconsin,1320281857.1,8.5,5640996,234873.8333,547878.3333,679971117,103.4249,241.254,2009-01-01,64859,2009,48,24.0,-3.67,-103.9,2723.5
Wyoming,151971744.97,6.4,546043,11185.0833,26762.0833,37074837,115.4458,276.2223,2009-01-01,66420,2009,49,8.0,-1.82,-5.3,285.7
